File;UUID;English;Russian
Ln\AMER_Adjectives.lsx;Deadly;Deadly;Смертоносн.
Ln\AMER_Adjectives.lsx;of Slaying;of Slaying;убийства
Ln\AMER_Adjectives.lsx;Lethal;Lethal;Смертельн.
Ln\AMER_Adjectives.lsx;of Headstriking;of Headstriking;головоломства
Ln\AMER_Adjectives.lsx;Heartseeker's;Heartseeker's;
Ln\AMER_Adjectives.lsx;of Oblivion;of Oblivion;забвения
Ln\AMER_Adjectives.lsx;of Eternity;of Eternity;вечности
Ln\AMER_Adjectives.lsx;Inexorable;Inexorable;Непреклонн.
Ln\AMER_Adjectives.lsx;Perpetual;Perpetual;Вечн.
Ln\AMER_Adjectives.lsx;of the Stone;of the Stone;камня
Ln\AMER_Adjectives.lsx;Enduring;Enduring;Прочн.
Ln\AMER_Adjectives.lsx;of the Jaguar;of the Jaguar;ягуара
Ln\AMER_Adjectives.lsx;Pouncing;Pouncing;Набрасывающ.
Ln\AMER_Adjectives.lsx;of the Cobra;of the Cobra;кобры
Ln\AMER_Adjectives.lsx;Springing;Springing;Упруг.
Ln\AMER_Adjectives.lsx;of the Mongoose;of the Mongoose;мангуста
Ln\AMER_Adjectives.lsx;Ambusher's;Ambusher's;Засадн.
Ln\AMER_Adjectives.lsx;of the Ox;Of the Ox;буйвола
Ln\AMER_Adjectives.lsx;Thrashing;Thrashing;Избит.
Ln\AMER_Adjectives.lsx;of Mangling;of Mangling;искажения
Ln\AMER_Adjectives.lsx;Binocular;Binocular;Бинокулярн.
Ln\AMER_Adjectives.lsx;of Vision;of Vision;видения
Ln\AMER_Adjectives.lsx;Empowered;Empowered;
Ln\AMER_Adjectives.lsx;of Empowering;of Empowering;
Ln\AMER_Adjectives.lsx;Metamind's;Metamind's;Ментальн.
Ln\AMER_Adjectives.lsx;of the Metamind;of the Metamind;силы мысли
Ln\AMER_Adjectives.lsx;of Tricks;of Tricks;хитрости
Ln\AMER_Adjectives.lsx;Trickster's;Trickster's;Трикстерск.
Ln\AMER_Adjectives.lsx;Godly;Godly;Божественн.
Ln\AMER_Adjectives.lsx;of the Eternal Reign;of the Eternal Reign;вечного господства
Ln\AMER_Adjectives.lsx;Shadoweave;Shadoweave;Тенешёлк.
Ln\AMER_Adjectives.lsx;of the Antipode;of the Antipode;противоположностей
Ln\AMER_Adjectives.lsx;of Divinity;of Divinity;божественности
Ln\AMER_Adjectives.lsx;Unfettered;Unfettered;Освобождённ.
Ln\AMER_Adjectives.lsx;of the Goliath;of the Goliath;гиганта
Ln\AMER_Adjectives.lsx;Unstoppable;Unstoppable;Неудержим.
Ln\AMER_Adjectives.lsx;Centurion's;Centurion's;центуриона
Ln\AMER_Adjectives.lsx;of the Bastion;of the Bastion;бастиона
Ln\AMER_Adjectives.lsx;Vitriolic;Vitriolic;Едк.
Ln\AMER_Adjectives.lsx;of Corrosion;of Corrosion;коррозии
Ln\AMER_Hints.lsx;HINT_CAM_ROTATE;In Epic Encounters your resistances are limited to 75%, but some powerful effects can allow you to surpass this limit.;
Ln\AMER_Hints.lsx;HINT_CAM_ZOOM;Take caution to protect your resurrected companions, as they will return in a greatly weakened state for a short time.;
Ln\AMER_Hints.lsx;HINT_CAM_HOME;If you've been blinded, try to keep track of where everyone is before your turn. In Epic Encounters, blind characters have a difficult time seeing things.;
Ln\AMER_Hints.lsx;HINT_FLEE;"If a fight is getting the better of you, don't feel bad- this stuff is pretty hard. You can always flee and come back when you&apos;re more prepared, too- but let's be real; who flees?";
Ln\AMER_Hints.lsx;HINT_GUARD;Attacking guards in a city is one of the funniest ways to kill people.;
Ln\AMER_Hints.lsx;HINT_REPAIR;Agonizing over how to build a character? Good! I accept the compliment.;
Ln\AMER_Hints.lsx;HINT_ASSAULT;If someone really deserves it, murder in broad daylight is sure to be an entertaining experience.;
Ln\AMER_Hints.lsx;HINT_STACKS;Be careful when saving up Chain bonus- if you miss an attack, you'll lose two stacks, and if you aren't invisible or sneaking when your turn starts, you'll lose it all!;
Ln\AMER_Hints.lsx;HINT_COMBINE;Revisit every skill! Epic Encounters reworks the original skills, so give those subpar spells another chance and see if they can't catch your fancy.;
Ln\AMER_Hints.lsx;HINT_TRAPS;"Epic Encounters introduces several ways to perform various reactions while out of turn.&lt;br&gt;These are similar to Attacks of Opportunity, but trigger in different ways and have a wide range of effects.";
Ln\AMER_Hints.lsx;HINT_WATERSURF;"No one has more friends than the man with many Metamind points!&lt;br&gt;Epic Encounters groups Loremaster and Telekinesis into this single ability so you can grab stuff from a distance while you check stuff from a distance.";
Ln\AMER_Hints.lsx;HINT_BREAKING;"To the favored ones; to my friends: Facepalm, In and Out, Sleep, I am Disappoint--thanks for the memories.";
Ln\AMER_Hints.lsx;HINT_FOG;"Pesky Hyperacutes getting the better of your Rogue? Throw a blind on &apos;em and they won&apos;t spot much more after that.";
Ln\AMER_Hints.lsx;HINT_SKILLBOOKS;"Many new skills have been added with Epic Encounters.&lt;br&gt;If you find a weird looking skillbook, it probably requires more than one ability to learn, but is well worth the investment.";
Ln\AMER_Hints.lsx;HINT_AP;"Many skills have higher ""recommended"" attribute or ability values than their requirements. In Epic Encounters, you can always see these values on any skill or skillbook.";
Ln\AMER_Hints.lsx;HINT_GEAR;We hope you enjoy experiencing Epic Encounters at least as much as we enjoyed creating it. :);
Ln\AMER_Hints.lsx;HINT_RANGE;Bows and crossbows have the potential to fire from great distances, but are always limited to your sight radius and become less accurate when further from a target.;
Ln\AMER_Hints.lsx;HINT_HOMTRADERS;"Perception is great! In Epic Encounters Perception has been greatly improved, and is essential for any character hoping to score critical strikes.&lt;br&gt;You can even add on the Hyperacuity talent to detect hidden enemies!";
Ln\AMER_Hints.lsx;HINT_OUTLINE;"In Epic Encounters, wielding a dagger allows a character to build Chain from striking enemies; you can gain two per turn and up to five total. Save up your Chain to use with Chain Finishers for powerful bonus effects!";
Ln\AMER_Hints.lsx;HINT_PERCEPTION;To examine a character, hover over them and hit [IE_ToggleInfo]. The higher your Metamind skill, the more detailed the info you get.;
Ln\AMER_Hints.lsx;HINT_HEAVYSTUFF;You can move heavy items by increasing your Strength or investing points in Metamind.;
Ln\AMER_Hints.lsx;HINT_PICKPOCKET;"Make some mischief! Epic Encounters bundles Sneaking, Pickpocketing, and Lockpicking into one ability, Tricks of the Trade, so don&apos;t feel bad about grabbing a few points and terrorizing the townsfolk.";
Ln\AMER_Hints.lsx;HINT_DISARMTRAPS;"Don't be so quick to put the moves on your enemies; in Epic Encounters charmed enemies will become enraged after they realize you've charmed them, making them immune to further charms and just very upset in general.";
